Fournisseur,
ACETEX INTERMEDIATE                      ,
ADL & PROCHILAB                                                  ,
ARXADA France                ,
AZELIS – ESSENTIAL CHEMICALS             ,
AZELIS France                ,
Beauseigneur SAS       ,
BRENNTAG                                             ,
BRENNTAG IDF                            ,
BRENNTAG SA                  ,
BRENNTAG site Méditerranée                 ,
CARLO ERBA  ,
CARLO ERBA REACTIFS                                           ,
Carlo Erba Reagent             ,
CARLO ERBA REAGENTS S.R.L. (IT21)                                 ,
CARLO ERBA REAGENTS SA (IT22)                          ,
CELANESE                      ,
CELANESE SALES GERMANY GMBH        ,
CENTIPHARM                   ,
CHEM-LAB                                                          ,
CHIMIE PLUS LABORATOIRES                                 ,
CPAChem Ltd (4514602)                                  ,
EASTMAN Chemical BV                        ,
EASTMAN Chemical GMBH                  ,
EASTMAN CHEMICALS                                    ,
ETABLISSEMENTS BEAUSEIGNEUR  ,
FISHER  SCIENTIFIC SAS                                ,
HONEYWELL                                                  ,
ICOA                                                  ,
ILARIO ORMEZZANO SAI SPA                ,
Imcd España Especialidades Químicas S.A,
IMCD France SAS              ,
INEOS AROMATICS BELGIUM NV      ,
Janssen Pharmaceutica                                             ,
Joprochim                               ,
JOSEPH PRODUITS CHIMIQUES    ,
Jubilant Life Sciences NV belgium,
Labbox Labware, S.L.                                            
LABODIFF,
LABORATOIRES HUMEAU,
LONZA LTD                          ,
LUNA CHEMICALS ,
Merck KGaA                        ,
ORMEZZANO ILARIO                        ,
PANREAC                                                 ,
QUIMIDROGA         ,
QUIMIDROGA FRANCE                       ,
Rainoldi                                   ,
ROTH SOCHIEL                                          ,
SCB SOYONS                                             ,
SIGMA ALDRICH CHIMIE,
Sigma Aldrich International GmbH c/o Sigma-Aldrich Chemie GmbH    ,
Sigma-Aldrich International GmbH                                  ,
STEINER                      ,
UNIPEX SOLUTIONS France      ,
Univar Solutions             ,
VWR INTERNATIONAL              ,
